Metro_area,Main_cities,Population,Violent_crime,Property_crime
"Dalton, GA M.S.A.",NA,143925,NA,NA
NA,Includes Murray and Whitfield Counties,NA,NA,NA
NA,City of Dalton,33989,113,1103
NA,Total area actually reporting,0.996,988,4880
NA,Estimated total,1,991,4905
NA,"Rate per 100,000 inhabitants",NA,688.6,3408
"Danville, IL M.S.A.",NA,78439,NA,NA
NA,Includes Vermilion County,NA,NA,NA
NA,City of Danville,31931,502,1894
NA,Total area actually reporting,0.984,631,2720
NA,Estimated total,1,634,2741
NA,"Rate per 100,000 inhabitants",NA,808.3,3494.4
"Davenport-Moline-Rock Island, IA-IL M.S.A.4",NA,383016,NA,NA
NA,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",NA,NA,NA
NA,"City of Davenport, IA",103118,750,5001
NA,"City of Moline, IL",42517,196,1459
NA,"City of Rock Island, IL",38543,158,1042
NA,Total area actually reporting,0.986,1496,NA
NA,Estimated total,1,1506,NA
NA,"Rate per 100,000 inhabitants",NA,393.2,NA
"Dayton, OH M.S.A.2",NA,800013,NA,NA
NA,"Includes Greene, Miami, and Montgomery Counties",NA,NA,NA
NA,City of Dayton,140260,1402,7235
NA,Total area actually reporting,0.969,2453,22891
NA,Estimated total,1,2491,23434
NA,"Rate per 100,000 inhabitants",NA,311.4,2929.2
"Decatur, AL M.S.A.",NA,152077,NA,NA
NA,Includes Lawrence and Morgan Counties,NA,NA,NA
NA,City of Decatur,55374,154,2600
NA,Total area actually reporting,0.993,346,3812
NA,Estimated total,1,352,3848
NA,"Rate per 100,000 inhabitants",NA,231.5,2530.3
"Decatur, IL M.S.A.",NA,106100,NA,NA
NA,Includes Macon County,NA,NA,NA
NA,City of Decatur,72694,392,2657
NA,Total area actually reporting,0.99,434,2954
NA,Estimated total,1,436,2973
NA,"Rate per 100,000 inhabitants",NA,410.9,2802.1
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",NA,631296,NA,NA
NA,Includes Flagler and Volusia Counties,NA,NA,NA
NA,City of Daytona Beach,65495,814,4197
NA,City of Ormond Beach,41325,202,1602
NA,Total area actually reporting,1,2471,18058
NA,"Rate per 100,000 inhabitants",NA,391.4,2860.5
"Denver-Aurora-Lakewood, CO M.S.A.",NA,2868232,NA,NA
NA,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",NA,NA,NA
NA,City of Denver,699259,4597,25101
NA,City of Aurora,366477,1939,11213
NA,City of Lakewood,154553,875,8455
NA,City of Broomfield,66953,36,1610
NA,Total area actually reporting,0.999,11149,84650
NA,Estimated total,1,11156,84729
NA,"Rate per 100,000 inhabitants",NA,389,2954
"Des Moines-West Des Moines, IA M.S.A.3",NA,632763,NA,NA
NA,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",NA,NA,NA
NA,City of Des Moines,211501,1497,8881
NA,City of West Des Moines,65631,149,1513
NA,Total area actually reporting,1,2352,NA
NA,"Rate per 100,000 inhabitants",NA,371.7,NA
"Detroit-Warren-Dearborn, MI M.S.A.",NA,4302722,NA,NA
NA,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,NA,NA,NA
NA,City of Detroit,669673,13705,31630
NA,City of Warren,135620,691,3521
NA,City of Dearborn,94646,348,2791
NA,City of Livonia,94226,141,1694
NA,City of Troy,83743,78,1336
NA,City of Farmington Hills,81649,77,1050
NA,City of Southfield,73438,195,2158
NA,City of Taylor,61290,372,1495
NA,City of Pontiac,60003,749,1425
NA,City of Novi,59441,32,661
NA,Total area actually reporting,0.999,23903,89693
NA,Estimated total,1,23907,89714
NA,"Rate per 100,000 inhabitants",NA,555.6,2085.1
"Detroit-Dearborn-Livonia, MI M.D.",NA,1747582,NA,NA
NA,Includes Wayne County,NA,NA,NA
NA,Total area actually reporting,1,18073,54744
NA,"Rate per 100,000 inhabitants",NA,1034.2,3132.6
"Warren-Troy-Farmington Hills, MI M.D.",NA,2555140,NA,NA
NA,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",NA,NA,NA
NA,Total area actually reporting,0.999,5830,34949
NA,Estimated total,1,5834,34970
NA,"Rate per 100,000 inhabitants",NA,228.3,1368.6
"Dothan, AL M.S.A.4",NA,148284,NA,NA
NA,"Includes Geneva, Henry, and Houston Counties",NA,NA,NA
NA,City of Dothan4,67835,NA,2758
NA,Total area actually reporting,0.994,NA,4221
NA,Estimated total,1,NA,4248
NA,"Rate per 100,000 inhabitants",NA,NA,2864.8
"Dover, DE M.S.A.",NA,175090,NA,NA
NA,Includes Kent County,NA,NA,NA
NA,City of Dover,37824,307,1880
NA,Total area actually reporting,1,829,4399
NA,"Rate per 100,000 inhabitants",NA,473.5,2512.4
"Dubuque, IA M.S.A.",NA,97625,NA,NA
NA,Includes Dubuque County,NA,NA,NA
NA,City of Dubuque,59026,210,1832
NA,Total area actually reporting,1,237,2054
NA,"Rate per 100,000 inhabitants",NA,242.8,2104
"Duluth, MN-WI M.S.A.",NA,279220,NA,NA
NA,"Includes Carlton and St. Louis Counties, MN and Douglas County, WI",NA,NA,NA
NA,"City of Duluth, MN",86090,312,3827
NA,Total area actually reporting,1,642,8915
NA,"Rate per 100,000 inhabitants",NA,229.9,3192.8
"East Stroudsburg, PA M.S.A.",NA,165226,NA,NA
NA,Includes Monroe County,NA,NA,NA
NA,Total area actually reporting,1,416,3130
NA,"Rate per 100,000 inhabitants",NA,251.8,1894.4
"Eau Claire, WI M.S.A.2",NA,166178,NA,NA
NA,Includes Chippewa and Eau Claire Counties,NA,NA,NA
NA,City of Eau Claire,68084,141,1818
NA,Total area actually reporting,1,230,2788
NA,"Rate per 100,000 inhabitants",NA,138.4,1677.7
"El Centro, CA M.S.A.",NA,180066,NA,NA
NA,Includes Imperial County,NA,NA,NA
NA,City of El Centro,44213,205,2314
NA,Total area actually reporting,0.959,676,5195
NA,Estimated total,1,701,5372
NA,"Rate per 100,000 inhabitants",NA,389.3,2983.4
"Elizabethtown-Fort Knox, KY M.S.A.",NA,148206,NA,NA
NA,"Includes Hardin, Larue, and Meade Counties",NA,NA,NA
NA,City of Elizabethtown,29821,68,476
NA,Total area actually reporting,1,181,1479
NA,"Rate per 100,000 inhabitants",NA,122.1,997.9
"Elmira, NY M.S.A.",NA,86124,NA,NA
NA,Includes Chemung County,NA,NA,NA
NA,City of Elmira,27995,97,1074
NA,Total area actually reporting,1,172,1892
NA,"Rate per 100,000 inhabitants",NA,199.7,2196.8
"El Paso, TX M.S.A.",NA,843018,NA,NA
NA,Includes El Paso and Hudspeth Counties,NA,NA,NA
NA,City of El Paso,687193,2682,12357
NA,Total area actually reporting,0.999,3076,14413
NA,Estimated total,1,3080,14442
NA,"Rate per 100,000 inhabitants",NA,365.4,1713.1
"Enid, OK M.S.A.",NA,63828,NA,NA
NA,Includes Garfield County,NA,NA,NA
NA,City of Enid,52240,214,2041
NA,Total area actually reporting,1,233,2220
NA,"Rate per 100,000 inhabitants",NA,365,3478.1
"Erie, PA M.S.A.",NA,276700,NA,NA
NA,Includes Erie County,NA,NA,NA
NA,City of Erie,99019,353,2278
NA,Total area actually reporting,1,594,5307
NA,"Rate per 100,000 inhabitants",NA,214.7,1918
"Eugene, OR M.S.A.2",NA,367343,NA,NA
NA,Includes Lane County,NA,NA,NA
NA,City of Eugene,164883,602,6317
NA,Total area actually reporting,0.991,1172,12137
NA,Estimated total,1,1178,12222
NA,"Rate per 100,000 inhabitants",NA,320.7,3327.1
"Evansville, IN-KY M.S.A.",NA,315875,NA,NA
NA,"Includes Posey, Vanderburgh, and Warrick Counties, IN and Henderson County, KY",NA,NA,NA
NA,City of Evansville,119908,762,5881
NA,Total area actually reporting,0.979,1127,8462
NA,Estimated total,1,1144,8644
NA,"Rate per 100,000 inhabitants",NA,362.2,2736.5
"Fairbanks, AK M.S.A.",NA,34657,NA,NA
NA,Includes Fairbanks North Star Borough,NA,NA,NA
NA,City of Fairbanks,32456,223,1350
NA,Total area actually reporting,1,232,1517
NA,"Rate per 100,000 inhabitants",NA,669.4,4377.2
"Fargo, ND-MN M.S.A.",NA,234910,NA,NA
NA,"Includes Clay County, MN and Cass County, ND",NA,NA,NA
NA,"City of Fargo, ND",121217,467,3843
NA,Total area actually reporting,1,635,5807
NA,"Rate per 100,000 inhabitants",NA,270.3,2472
"Farmington, NM M.S.A.",NA,116108,NA,NA
NA,Includes San Juan County,NA,NA,NA
NA,City of Farmington,42270,293,1857
NA,Total area actually reporting,1,1100,3174
NA,"Rate per 100,000 inhabitants",NA,947.4,2733.7
"Fayetteville, NC M.S.A.",NA,378409,NA,NA
NA,Includes Cumberland and Hoke Counties,NA,NA,NA
NA,City of Fayetteville,202200,1531,9201
NA,Total area actually reporting,1,1982,13168
NA,"Rate per 100,000 inhabitants",NA,523.8,3479.8
"Flagstaff, AZ M.S.A.",NA,140312,NA,NA
NA,Includes Coconino County,NA,NA,NA
NA,City of Flagstaff,71179,265,2856
NA,Total area actually reporting,1,512,4197
NA,"Rate per 100,000 inhabitants",NA,364.9,2991.2
"Flint, MI M.S.A.",NA,407879,NA,NA
NA,Includes Genesee County,NA,NA,NA
NA,City of Flint,97548,1545,3323
NA,Total area actually reporting,1,2562,9083
NA,"Rate per 100,000 inhabitants",NA,628.1,2226.9
"Florence, SC M.S.A.",NA,207007,NA,NA
NA,Includes Darlington and Florence Counties,NA,NA,NA
NA,City of Florence,38382,408,2563
NA,Total area actually reporting,0.994,1320,8787
NA,Estimated total,1,1326,8834
NA,"Rate per 100,000 inhabitants",NA,640.6,4267.5
"Florence-Muscle Shoals, AL M.S.A.",NA,146537,NA,NA
NA,Includes Colbert and Lauderdale Counties,NA,NA,NA
NA,City of Florence,40160,196,1400
NA,City of Muscle Shoals,13810,54,588
NA,Total area actually reporting,0.998,428,3197
NA,Estimated total,1,429,3207
NA,"Rate per 100,000 inhabitants",NA,292.8,2188.5
"Fond du Lac, WI M.S.A.",NA,101860,NA,NA
NA,Includes Fond du Lac County,NA,NA,NA
NA,City of Fond du Lac,42907,136,957
NA,Total area actually reporting,1,184,1377
NA,"Rate per 100,000 inhabitants",NA,180.6,1351.9
"Fort Collins, CO M.S.A.",NA,340447,NA,NA
NA,Includes Larimer County,NA,NA,NA
NA,City of Fort Collins,164670,342,4036
NA,Total area actually reporting,1,712,7524
NA,"Rate per 100,000 inhabitants",NA,209.1,2210
"Fort Smith, AR-OK M.S.A.",NA,279567,NA,NA
NA,"Includes Crawford and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK",NA,NA,NA
NA,"City of Fort Smith, AR",88573,712,5229
NA,Total area actually reporting,0.997,1388,9605
NA,Estimated total,1,1391,9628
NA,"Rate per 100,000 inhabitants",NA,497.6,3443.9
"Fort Wayne, IN M.S.A.",NA,431558,NA,NA
NA,"Includes Allen, Wells, and Whitley Counties",NA,NA,NA
NA,City of Fort Wayne,261642,1040,8924
NA,Total area actually reporting,0.947,1257,10858
NA,Estimated total,1,1288,11122
NA,"Rate per 100,000 inhabitants",NA,298.5,2577.2
"Fresno, CA M.S.A.",NA,976874,NA,NA
NA,Includes Fresno County,NA,NA,NA
NA,City of Fresno,524796,3206,20523
NA,Total area actually reporting,1,5983,31875
NA,"Rate per 100,000 inhabitants",NA,612.5,3263
"Gadsden, AL M.S.A.",NA,102537,NA,NA
NA,Includes Etowah County,NA,NA,NA
NA,City of Gadsden,35927,464,2521
NA,Total area actually reporting,0.985,722,3651
NA,Estimated total,1,730,3702
NA,"Rate per 100,000 inhabitants",NA,711.9,3610.4
"Gainesville, FL M.S.A.",NA,280301,NA,NA
NA,Includes Alachua and Gilchrist Counties,NA,NA,NA
NA,City of Gainesville,131242,870,4908
NA,Total area actually reporting,0.946,1460,7764
NA,Estimated total,1,1513,8068
NA,"Rate per 100,000 inhabitants",NA,539.8,2878.3
"Gainesville, GA M.S.A.",NA,196154,NA,NA
NA,Includes Hall County,NA,NA,NA
NA,City of Gainesville,39425,162,1405
NA,Total area actually reporting,1,512,5026
NA,"Rate per 100,000 inhabitants",NA,261,2562.3
"Gettysburg, PA M.S.A.",NA,102165,NA,NA
NA,Includes Adams County,NA,NA,NA
NA,City of Gettysburg,7608,31,106
NA,Total area actually reporting,1,166,817
NA,"Rate per 100,000 inhabitants",NA,162.5,799.7
"Glens Falls, NY M.S.A.",NA,125674,NA,NA
NA,Includes Warren and Washington Counties,NA,NA,NA
NA,City of Glens Falls,14212,33,220
NA,Total area actually reporting,1,207,1565
NA,"Rate per 100,000 inhabitants",NA,164.7,1245.3
"Goldsboro, NC M.S.A.",NA,124396,NA,NA
NA,Includes Wayne County,NA,NA,NA
NA,City of Goldsboro,35871,389,1999
NA,Total area actually reporting,0.977,538,3801
NA,Estimated total,1,546,3889
NA,"Rate per 100,000 inhabitants",NA,438.9,3126.3
"Grand Forks, ND-MN M.S.A.",NA,101537,NA,NA
NA,"Includes Polk County, MN and Grand Forks County, ND",NA,NA,NA
NA,"City of Grand Forks, ND",57853,177,1783
NA,Total area actually reporting,1,244,2550
NA,"Rate per 100,000 inhabitants",NA,240.3,2511.4
"Grand Island, NE M.S.A.",NA,85552,NA,NA
NA,"Includes Hall, Hamilton, Howard, and Merrick Counties",NA,NA,NA
NA,City of Grand Island,51980,173,1620
NA,Total area actually reporting,0.925,236,1893
NA,Estimated total,1,245,1973
NA,"Rate per 100,000 inhabitants",NA,286.4,2306.2
"Grand Junction, CO M.S.A.",NA,148848,NA,NA
NA,Includes Mesa County,NA,NA,NA
NA,City of Grand Junction,60628,314,3060
NA,Total area actually reporting,0.992,516,4540
NA,Estimated total,1,519,4573
NA,"Rate per 100,000 inhabitants",NA,348.7,3072.3
"Grand Rapids-Wyoming, MI M.S.A.",NA,1048249,NA,NA
NA,"Includes Barry, Kent, Montcalm, and Ottawa Counties",NA,NA,NA
NA,City of Grand Rapids,196538,1327,4334
NA,City of Wyoming,75917,352,1758
NA,Total area actually reporting,0.998,3529,16906
NA,Estimated total,1,3534,16939
NA,"Rate per 100,000 inhabitants",NA,337.1,1615.9
"Grants Pass, OR M.S.A.",NA,85644,NA,NA
NA,Includes Josephine County,NA,NA,NA
NA,City of Grants Pass,37317,96,2010
NA,Total area actually reporting,1,190,2417
NA,"Rate per 100,000 inhabitants",NA,221.8,2822.1
"Great Falls, MT M.S.A.",NA,82482,NA,NA
NA,Includes Cascade County,NA,NA,NA
NA,City of Great Falls,59717,162,2944
NA,Total area actually reporting,1,189,3149
NA,"Rate per 100,000 inhabitants",NA,229.1,3817.8
"Greeley, CO M.S.A.",NA,291675,NA,NA
NA,Includes Weld County,NA,NA,NA
NA,City of Greeley,102491,468,3275
NA,Total area actually reporting,0.996,749,5861
NA,Estimated total,1,752,5895
NA,"Rate per 100,000 inhabitants",NA,257.8,2021.1
"Green Bay, WI M.S.A.2",NA,318010,NA,NA
NA,"Includes Brown,2 Kewaunee, and Oconto Counties",NA,NA,NA
NA,City of Green Bay2,105452,505,2306
NA,Total area actually reporting,0.91,662,4418
NA,Estimated total,1,681,4618
NA,"Rate per 100,000 inhabitants",NA,214.1,1452.2
"Hagerstown-Martinsburg, MD-WV M.S.A.",NA,261805,NA,NA
NA,"Includes Washington County, MD and Berkeley County, WV",NA,NA,NA
NA,"City of Hagerstown, MD",40567,231,1262
NA,"City of Martinsburg, WV",17789,81,882
NA,Total area actually reporting,1,650,5556
NA,"Rate per 100,000 inhabitants",NA,248.3,2122.2
"Hammond, LA M.S.A.",NA,129819,NA,NA
NA,Includes Tangipahoa Parish,NA,NA,NA
NA,City of Hammond,20576,286,2131
NA,Total area actually reporting,0.966,1170,5470
NA,Estimated total,1,1189,5635
NA,"Rate per 100,000 inhabitants",NA,915.9,4340.7
"Hanford-Corcoran, CA M.S.A.",NA,149661,NA,NA
NA,Includes Kings County,NA,NA,NA
NA,City of Hanford,55973,266,1496
NA,City of Corcoran,22111,68,404
NA,Total area actually reporting,1,639,3167
NA,"Rate per 100,000 inhabitants",NA,427,2116.1
"Harrisburg-Carlisle, PA M.S.A.",NA,566382,NA,NA
NA,"Includes Cumberland, Dauphin, and Perry Counties",NA,NA,NA
NA,City of Harrisburg,48996,526,1342
NA,City of Carlisle,19225,25,400
NA,Total area actually reporting,0.994,1439,8326
NA,Estimated total,1,1445,8379
NA,"Rate per 100,000 inhabitants",NA,255.1,1479.4
"Harrisonburg, VA M.S.A.",NA,131581,NA,NA
NA,Includes Rockingham County and Harrisonburg City,NA,NA,NA
NA,City of Harrisonburg,52972,117,1099
NA,Total area actually reporting,1,214,1794
NA,"Rate per 100,000 inhabitants",NA,162.6,1363.4
"Hartford-West Hartford-East Hartford, CT M.S.A.2",NA,1019846,NA,NA
NA,"Includes Hartford, Middlesex, and Tolland Counties",NA,NA,NA
NA,City of Hartford,123736,1353,5197
NA,City of West Hartford,62979,40,1589
NA,City of East Hartford,50733,147,1312
NA,City of Middletown,46580,70,927
NA,Total area actually reporting,1,2430,22566
NA,"Rate per 100,000 inhabitants",NA,238.3,2212.7
"Hattiesburg, MS M.S.A.",NA,149558,NA,NA
NA,"Includes Forrest, Lamar, and Perry Counties",NA,NA,NA
NA,City of Hattiesburg,47006,147,2752
NA,Total area actually reporting,0.902,279,3822
NA,Estimated total,1,298,4068
NA,"Rate per 100,000 inhabitants",NA,199.3,2720
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",NA,211983,NA,NA
NA,Includes Beaufort and Jasper Counties,NA,NA,NA
NA,City of Bluffton,17498,25,267
NA,City of Beaufort,13477,85,857
NA,Total area actually reporting,1,668,4634
NA,"Rate per 100,000 inhabitants",NA,315.1,2186
"Hinesville, GA M.S.A.",NA,80776,NA,NA
NA,Includes Liberty and Long Counties,NA,NA,NA
NA,City of Hinesville,33477,215,1252
NA,Total area actually reporting,1,344,1850
NA,"Rate per 100,000 inhabitants",NA,425.9,2290.3
"Homosassa Springs, FL M.S.A.",NA,141300,NA,NA
NA,Includes Citrus County,NA,NA,NA
NA,Total area actually reporting,1,338,1979
NA,"Rate per 100,000 inhabitants",NA,239.2,1400.6
"Hot Springs, AR M.S.A.",NA,97312,NA,NA
NA,Includes Garland County,NA,NA,NA
NA,City of Hot Springs,35716,277,2882
NA,Total area actually reporting,1,634,4605
NA,"Rate per 100,000 inhabitants",NA,651.5,4732.2
"Houma-Thibodaux, LA M.S.A.",NA,212402,NA,NA
NA,Includes Lafourche and Terrebonne Parishes,NA,NA,NA
NA,City of Houma,34410,167,1411
NA,City of Thibodaux,14588,90,593
NA,Total area actually reporting,1,954,6693
NA,"Rate per 100,000 inhabitants",NA,449.1,3151.1
"Houston-The Woodlands-Sugar Land, TX M.S.A.",NA,6789215,NA,NA
NA,"Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, and Waller Counties",NA,NA,NA
NA,City of Houston,2334348,23960,100856
NA,City of Sugar Land,90088,77,1460
NA,City of Baytown,77224,302,2858
NA,City of Conroe,71111,252,2199
NA,Total area actually reporting,0.999,39255,198490
NA,Estimated total,1,39256,198500
NA,"Rate per 100,000 inhabitants",NA,578.2,2923.8
"Huntington-Ashland, WV-KY-OH M.S.A.3, 4",NA,359412,NA,NA
NA,"Includes Boyd and Greenup Counties, KY; Lawrence County OH; and Cabell, Lincoln, Putnam, and Wayne Counties, WV",NA,NA,NA
NA,"City of Huntington, WV3",48540,378,NA
NA,"City of Ashland, KY",20987,51,885
NA,Total area actually reporting,0.837,900,NA
NA,Estimated total,1,1048,NA
NA,"Rate per 100,000 inhabitants",NA,291.6,NA
"Huntsville, AL M.S.A.",NA,448973,NA,NA
NA,Includes Limestone and Madison Counties,NA,NA,NA
NA,City of Huntsville,192587,1787,9398
NA,Total area actually reporting,1,2501,14340
NA,"Rate per 100,000 inhabitants",NA,557,3194
"Idaho Falls, ID M.S.A.",NA,141859,NA,NA
NA,"Includes Bonneville, Butte, and Jefferson Counties",NA,NA,NA
NA,City of Idaho Falls,59615,253,1367
NA,Total area actually reporting,1,425,2226
NA,"Rate per 100,000 inhabitants",NA,299.6,1569.2
"Indianapolis-Carmel-Anderson, IN M.S.A.",NA,2004800,NA,NA
NA,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, Putnam, and Shelby Counties",NA,NA,NA
NA,City of Indianapolis,866351,11907,41540
NA,City of Carmel,90619,25,803
NA,City of Anderson,55134,240,2294
NA,Total area actually reporting,0.824,13615,57721
NA,Estimated total,1,14302,64291
NA,"Rate per 100,000 inhabitants",NA,713.4,3206.9
"Iowa City, IA M.S.A.",NA,169088,NA,NA
NA,Includes Johnson and Washington Counties,NA,NA,NA
NA,City of Iowa City,75527,197,1551
NA,Total area actually reporting,1,493,2921
NA,"Rate per 100,000 inhabitants",NA,291.6,1727.5
"Jackson, MI M.S.A.",NA,159287,NA,NA
NA,Includes Jackson County,NA,NA,NA
NA,City of Jackson,33060,409,1504
NA,Total area actually reporting,0.987,843,3489
NA,Estimated total,1,849,3528
NA,"Rate per 100,000 inhabitants",NA,533,2214.9
"Jackson, TN M.S.A.",NA,129606,NA,NA
NA,"Includes Chester, Crockett, and Madison Counties",NA,NA,NA
NA,City of Jackson,66990,628,2947
NA,Total area actually reporting,1,843,3939
NA,"Rate per 100,000 inhabitants",NA,650.4,3039.2
"Jacksonville, FL M.S.A.",NA,1473678,NA,NA
NA,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",NA,NA,NA
NA,City of Jacksonville,880557,5504,31538
NA,Total area actually reporting,1,7058,42653
NA,"Rate per 100,000 inhabitants",NA,478.9,2894.3
"Janesville-Beloit, WI M.S.A.",NA,161430,NA,NA
NA,Includes Rock County,NA,NA,NA
NA,City of Janesville,64234,145,1763
NA,City of Beloit,36878,175,1124
NA,Total area actually reporting,1,370,3570
NA,"Rate per 100,000 inhabitants",NA,229.2,2211.5
"Jefferson City, MO M.S.A.",NA,151164,NA,NA
NA,"Includes Callaway, Cole, Moniteau, and Osage Counties",NA,NA,NA
NA,City of Jefferson City,43171,174,1318
NA,Total area actually reporting,1,445,2855
NA,"Rate per 100,000 inhabitants",NA,294.4,1888.7
"Johnson City, TN M.S.A.",NA,200977,NA,NA
NA,"Includes Carter, Unicoi, and Washington Counties",NA,NA,NA
NA,City of Johnson City,66511,263,2488
NA,Total area actually reporting,1,585,4662
NA,"Rate per 100,000 inhabitants",NA,291.1,2319.7
"Johnstown, PA M.S.A.",NA,134652,NA,NA
NA,Includes Cambria County,NA,NA,NA
NA,City of Johnstown,21227,100,633
NA,Total area actually reporting,0.98,210,1807
NA,Estimated total,1,214,1848
NA,"Rate per 100,000 inhabitants",NA,158.9,1372.4
"Jonesboro, AR M.S.A.",NA,129793,NA,NA
NA,Includes Craighead and Poinsett Counties,NA,NA,NA
NA,City of Jonesboro,75230,387,3369
NA,Total area actually reporting,1,541,4662
NA,"Rate per 100,000 inhabitants",NA,416.8,3591.9
"Joplin, MO M.S.A.4",NA,177228,NA,NA
NA,Includes Jasper and Newton4 Counties,NA,NA,NA
NA,City of Joplin,52001,329,3779
NA,Total area actually reporting,1,NA,7163
NA,"Rate per 100,000 inhabitants",NA,NA,4041.7
"Kahului-Wailuku-Lahaina, HI M.S.A.",NA,164771,NA,NA
NA,Includes Kalawao and Maui Counties,NA,NA,NA
NA,Total area actually reporting,1,450,5741
NA,"Rate per 100,000 inhabitants",NA,273.1,3484.2
"Kalamazoo-Portage, MI M.S.A.",NA,336919,NA,NA
NA,Includes Kalamazoo and Van Buren Counties,NA,NA,NA
NA,City of Kalamazoo,76389,925,3221
NA,City of Portage,48550,103,1289
NA,Total area actually reporting,1,1776,9038
NA,"Rate per 100,000 inhabitants",NA,527.1,2682.5
"Kankakee, IL M.S.A.",NA,109833,NA,NA
NA,Includes Kankakee County,NA,NA,NA
NA,City of Kankakee,26509,203,1098
NA,Total area actually reporting,0.867,311,2382
NA,Estimated total,1,341,2630
NA,"Rate per 100,000 inhabitants",NA,310.5,2394.5
"Kennewick-Richland, WA M.S.A.",NA,285194,NA,NA
NA,Includes Benton and Franklin Counties,NA,NA,NA
NA,City of Kennewick,79837,183,2254
NA,City of Richland,55475,101,1344
NA,Total area actually reporting,1,551,6202
NA,"Rate per 100,000 inhabitants",NA,193.2,2174.7
"Killeen-Temple, TX M.S.A.2",NA,434470,NA,NA
NA,"Includes Bell, Coryell, and Lampasas Counties",NA,NA,NA
NA,City of Killeen,143248,996,3946
NA,City of Temple,73411,226,2298
NA,Total area actually reporting,0.993,1673,10468
NA,Estimated total,1,1681,10542
NA,"Rate per 100,000 inhabitants",NA,386.9,2426.4
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",NA,306101,NA,NA
NA,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",NA,NA,NA
NA,"City of Kingsport, TN",53059,369,2501
NA,"City of Bristol, TN",26656,158,900
NA,"City of Bristol, VA",16908,37,432
NA,Total area actually reporting,1,1124,7135
NA,"Rate per 100,000 inhabitants",NA,367.2,2330.9
"Kingston, NY M.S.A.",NA,178502,NA,NA
NA,Includes Ulster County,NA,NA,NA
NA,City of Kingston,23360,76,484
NA,Total area actually reporting,1,292,2336
NA,"Rate per 100,000 inhabitants",NA,163.6,1308.7
"Knoxville, TN M.S.A.",NA,866010,NA,NA
NA,"Includes Anderson, Blount, Campbell, Grainger, Knox, Loudon, Morgan, Roane, and Union Counties",NA,NA,NA
NA,City of Knoxville,186583,1672,10324
NA,Total area actually reporting,1,3892,23900
NA,"Rate per 100,000 inhabitants",NA,449.4,2759.8
"Kokomo, IN M.S.A.",NA,82350,NA,NA
NA,Includes Howard County,NA,NA,NA
NA,City of Kokomo,57984,441,1760
NA,Total area actually reporting,0.987,519,2046
NA,Estimated total,1,522,2077
NA,"Rate per 100,000 inhabitants",NA,633.9,2522.2
"La Crosse-Onalaska, WI-MN M.S.A.",NA,137403,NA,NA
NA,"Includes Houston County, MN and La Crosse County, WI",NA,NA,NA
NA,"City of La Crosse, WI",52498,131,2290
NA,"City of Onalaska, WI",18600,13,508
NA,Total area actually reporting,1,186,3374
NA,"Rate per 100,000 inhabitants",NA,135.4,2455.6
"Lafayette, LA M.S.A.3",NA,493575,NA,NA
NA,"Includes Acadia, Iberia,3 Lafayette, St. Martin, and Vermilion Parishes",NA,NA,NA
NA,City of Lafayette,128923,641,6417
NA,Total area actually reporting,0.974,1830,NA
NA,Estimated total,1,1887,NA
NA,"Rate per 100,000 inhabitants",NA,382.3,NA
"Lafayette-West Lafayette, IN M.S.A.",NA,216480,NA,NA
NA,"Includes Benton, Carroll, and Tippecanoe Counties",NA,NA,NA
NA,City of Lafayette,71562,360,3016
NA,City of West Lafayette,46284,57,452
NA,Total area actually reporting,0.871,491,4401
NA,Estimated total,1,536,4799
NA,"Rate per 100,000 inhabitants",NA,247.6,2216.8
"Lake Charles, LA M.S.A.",NA,206047,NA,NA
NA,Includes Calcasieu and Cameron Parishes,NA,NA,NA
NA,City of Lake Charles,76864,654,3153
NA,Total area actually reporting,1,1357,8754
NA,"Rate per 100,000 inhabitants",NA,658.6,4248.5
"Lakeland-Winter Haven, FL M.S.A.",NA,661218,NA,NA
NA,Includes Polk County,NA,NA,NA
NA,City of Lakeland,105766,337,5111
NA,City of Winter Haven,38488,196,1339
NA,Total area actually reporting,1,2199,15567
NA,"Rate per 100,000 inhabitants",NA,332.6,2354.3
"Lancaster, PA M.S.A.",NA,538376,NA,NA
NA,Includes Lancaster County,NA,NA,NA
NA,City of Lancaster,59340,487,2164
NA,Total area actually reporting,1,944,7411
NA,"Rate per 100,000 inhabitants",NA,175.3,1376.5
"Lansing-East Lansing, MI M.S.A.",NA,473685,NA,NA
